ID,Frame,X_m,Y_m
1,1375,-0.012,0.0695
2,1929,0.121,0.1665
3,2140,-0.133,0.0895
4,2529,0.116,-0.1905
5,2757,0.289,-0.0345
6,2981,-0.295,0.1415
7,3178,0.124,-0.0605
8,3363,0.181,0.0135
9,3545,-0.016,0.1115
10,4445,0.098,-0.0215
11,4861,0.025,0.0585
12,5179,-0.129,0.1805
13,5430,0.056,0.1525
14,5869,0.06,0.2025
15,6238,-0.125,0.0975
16,6492,0.246,0.1165
17,6720,-0.097,0.2065
18,7093,0.07,0.0655
19,7330,0.143,0.1315
20,7556,0.083,-0.0045
21,7998,-0.051,0.1605
22,8437,0.223,0.1015
23,8640,-0.243,-0.1215
24,8828,0.151,0.0115
25,9026,-0.231,-0.0155
26,9321,0.077,0.0315
27,9535,-0.02,-0.1835
28,9985,0.113,0.0855
29,10205,-0.169,0.1285
30,10412,0.251,0.0195
31,10907,0.071,-0.0425
32,11091,-0.208,0.1575
33,11692,-0.207,0.2255
34,11875,-0.194,0.2055
35,12506,-0.103,0.0565
36,12683,-0.207,-0.0615
37,13027,-0.16,0.0455
38,13221,-0.05,0.3
39,13424,-0.094,-0.0155
40,13727,-0.201,0.2245
41,14143,-0.134,-0.1365
42,14327,0.111,0.0915
43,14515,0.171,0.2085
44,14704,0.115,-0.0455
45,14892,0.023,0.1825
46,15178,0.184,0.0945
47,15361,0.131,0.2395
48,15556,0.227,0.0935
49,15749,0.092,0.1745
50,15942,0.144,0.1515
